shots-a,shots conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,0 boost time-a,100 boost time-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,time slow speed-a,percentage slow speed-a,time boost speed-a,percentage boost speed-a,time supersonic speed-a,percentage supersonic speed-a,time on ground-a,percentage on ground-a,time low in air-a,percentage low in air-a,time high in air-a,percentage high in air-a,time powerslide-a,avg powerslide time-a,count powerslide-a,time most back-a,time most forward-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,time behind ball-a,percentage behind ball-a,time in front of ball-a,percentage in front of ball-a,time defensive half-a,percentage defensive half-a,time offensive half-a,percentage offensive half-a,time defensive third-a,percentage defensive third-a,time neutral third-a,percentage neutral third-a,time offensive third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,0 boost time-b,100 boost time-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,time slow speed-b,percentage slow speed-b,time boost speed-b,percentage boost speed-b,time supersonic speed-b,percentage supersonic speed-b,time on ground-b,percentage on ground-b,time low in air-b,percentage low in air-b,time high in air-b,percentage high in air-b,time powerslide-b,avg powerslide time-b,count powerslide-b,time most back-b,time most forward-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,time behind ball-b,percentage behind ball-b,time in front of ball-b,percentage in front of ball-b,time defensive half-b,percentage defensive half-b,time offensive half-b,percentage offensive half-b,time defensive third-b,percentage defensive third-b,time neutral third-b,percentage neutral third-b,time offensive third-b,percentage offensive third-b,result,gd
9.0,7.0,394.5,54.735,2513.5,2014.5,499.0,24.5,46.0,429.0,267.5,161.5,3.5,15.5,35.715,38.595,350.5,331.0,56.0,1520.0,516421.0,177.0,47.945,144.565,39.13,47.83,12.93,208.8,56.54,151.835,41.09,8.765,2.375,4.74,0.1149999999999999,40.0,171.4,170.95,2634.5,2691.5,2584.5,284.985,77.15,84.405,22.85,239.165,64.75,130.23000000000002,35.25,182.19,49.32,117.85,31.92,69.355,18.76,0.0,0.5,360.0,53.33,2243.5,1601.5,642.0,19.5,59.5,381.0,177.0,204.0,2.5,18.5,40.955,44.6,528.0,398.0,83.5,1538.5,520246.5,166.385,44.98,156.16500000000002,42.2,47.44,12.82,251.92,68.09,112.91,30.515,5.17,1.4,5.51,0.14,40.0,171.85,171.25,2722.5,2435.0,2902.5,275.28,74.4,94.715,25.6,244.84500000000003,66.17,125.155,33.83,182.76,49.395,117.725,31.805,69.515,18.8,1,1.0
10.0,4.0,382.0,51.865,1626.5,1271.5,355.0,16.0,28.5,464.0,313.5,150.5,4.5,10.5,23.035,36.73,228.5,307.0,143.0,1477.5,371157.5,132.73,49.185,104.08,38.56,33.17,12.255,143.715,53.260000000000005,113.325,41.955,12.93,4.785,4.02,0.135,30.5,125.2,125.05,2354.0,2423.5,2214.0,202.455,74.975,67.525,25.025,146.595,54.290000000000006,123.385,45.71,111.235,41.195,82.39,30.515,76.35,28.285,0.5,0.0,362.5,48.075,1648.5,1304.5,344.0,15.5,29.5,354.5,283.5,71.0,3.0,6.0,19.835,31.965,323.0,200.5,16.0,1500.0,373296.0,131.465,49.125,102.535,38.205,33.96,12.675,148.35,55.36,113.665,42.435,5.945,2.2,6.25,0.155,41.0,128.1,126.3,2464.0,2436.5,2488.5,194.09,72.45,73.86500000000001,27.55,191.5,71.465,76.455,28.535,152.58999999999995,56.93,71.2,26.585,44.165,16.48,1,3.0
5.0,7.0,387.0,52.24,2221.0,1728.0,493.0,21.0,45.0,516.5,321.5,195.0,3.5,17.5,43.525000000000006,25.85,228.0,274.5,29.5,1547.0,499548.5,152.995,44.815,137.54500000000002,40.235,51.19,14.95,179.815,52.635000000000005,144.445,42.255,17.475,5.11,5.404999999999999,0.1149999999999999,47.5,164.14999999999998,162.65,2545.5,2243.0,2792.5,230.8,67.565,110.925,32.435,192.245,56.255,149.485,43.745,139.47500000000002,40.82,105.41,30.85,96.845,28.33,0.0,0.5,378.5,49.685,2132.5,1581.0,551.5,20.0,45.5,301.0,183.5,117.5,2.5,10.5,44.935,30.215,216.5,426.5,65.5,1456.0,471650.0,177.78,51.785,125.995,36.7,39.525000000000006,11.515,183.705,53.510000000000005,141.97,41.355,17.625,5.135,5.14,0.155,35.0,162.9,162.7,2403.5,2137.0,2716.0,249.865,72.785,93.435,27.215,231.525,67.44,111.775,32.56,176.42000000000002,51.39,93.955,27.37,72.925,21.24,0,-2.0
3.0,9.0,370.5,53.32,2160.0,1562.5,597.5,21.0,48.5,448.0,217.0,231.0,2.5,19.5,27.39,35.19,317.0,366.0,32.5,1496.0,497751.0,175.175,49.115,121.965,34.29,58.735,16.59,196.815,55.245000000000005,146.89,41.315,12.175,3.4400000000000004,6.345,0.12,52.0,171.95,168.9,2595.5,2219.5,2957.5,249.48,70.09,106.4,29.91,239.53,67.28999999999999,116.355,32.71,179.775,50.52,114.075,32.015,62.03,17.47,2.0,1.0,417.0,50.94,2337.0,1781.5,555.5,20.5,45.5,687.5,417.0,270.5,5.0,19.5,40.24,35.24,312.0,231.0,40.5,1533.5,502210.0,165.2,46.84,126.2,35.78,61.42999999999999,17.38,185.715,52.645,147.865,41.895,19.25,5.465,4.37,0.135,32.5,179.1,168.85,2445.5,2205.5,2722.5,245.9,69.725,106.93,30.275,190.295,53.95,162.53500000000005,46.05,127.05,36.035,124.08,35.14,101.7,28.825,0,-3.0
9.0,5.0,392.5,54.495000000000005,2227.0,1748.0,479.0,20.5,42.0,553.5,405.0,148.5,4.5,12.5,33.205,37.67,340.5,234.5,15.5,1487.5,488919.5,170.51999999999998,48.5,137.525,39.115,43.555,12.385000000000002,197.72,56.235,135.18,38.45,18.7,5.32,5.105,0.13,40.0,165.14999999999998,165.1,2744.0,2216.0,3221.0,268.62,76.4,82.98,23.6,217.335,61.815,134.26,38.185,165.36,47.03,97.895,27.84,88.35,25.125,0.0,0.0,397.5,50.715,2244.5,1663.5,581.0,20.5,51.0,416.5,241.0,175.5,3.0,15.5,48.715,31.55,326.5,390.5,59.5,1454.0,477838.0,175.39999999999998,49.895,135.285,38.485,40.86,11.62,208.06,59.185,132.5,37.69,10.985,3.125,9.61,0.135,72.0,164.95,165.2,2656.5,2624.0,2708.5,265.08,75.405,86.465,24.595,236.755,67.345,114.8,32.655,176.53,50.215,113.805,32.375,61.215,17.415,1,1.0
7.0,3.0,383.0,57.18,2072.0,1588.5,483.5,20.5,44.5,397.5,196.5,201.0,2.5,17.0,22.6,57.65,159.0,444.0,53.0,1544.5,481096.5,138.81,42.875,133.845,41.315,50.88,15.805,164.265,50.68,143.81,44.51,15.46,4.8100000000000005,4.84,0.11,43.0,163.0,158.89999999999998,2618.0,2427.0,2785.0,232.46,71.845,91.08,28.155,160.045,49.44,163.495,50.56,111.865,34.56,109.69,33.91,101.98,31.535000000000004,1.0,1.5,393.5,56.04,2241.5,1490.0,751.5,19.5,68.5,451.5,238.5,213.0,3.5,19.5,17.395,34.235,308.5,482.5,116.5,1429.0,445974.5,167.53,51.56,118.48,36.465,38.905,11.975,195.655,60.215,115.765,35.625,13.5,4.155,9.59,0.14,68.5,160.45,160.5,2374.5,2314.0,2465.5,230.84,71.04,94.085,28.96,240.5,74.02000000000001,84.41499999999999,25.98,198.26,61.02,75.985,23.39,50.67,15.595,1,2.0
10.0,3.0,433.0,51.54,1845.5,1486.0,359.5,18.5,32.0,450.5,295.0,155.5,3.5,13.5,30.225,19.14,191.0,251.5,27.5,1564.5,370982.5,117.92,44.78,112.38,42.675,33.025,12.545,143.27499999999998,54.41,103.275,39.215,16.78,6.37,4.17,0.105,40.5,117.95,117.8,2557.5,2457.0,2630.5,200.365,76.09,62.965,23.91,136.195,51.725,127.13,48.275,92.905,35.28,98.685,37.48,71.735,27.24,1.5,0.0,354.5,49.025,1459.5,1081.0,378.5,12.5,30.5,315.5,237.5,78.0,2.5,7.5,31.665,34.29,230.0,190.0,17.0,1423.5,328421.0,144.815,56.045,88.065,34.095,25.475,9.86,159.16000000000005,61.615,86.705,33.55,12.49,4.835,3.835,0.1,39.0,123.35,117.7,2830.0,2583.5,3016.5,172.935,66.94,85.42,33.06,195.725,75.765,62.63,24.235,152.775,59.14,69.065,26.74,36.51,14.125,1,3.0
8.0,9.0,383.0,51.53,2297.0,1826.5,470.5,24.0,43.0,612.5,373.5,239.0,4.5,21.0,57.46,27.34,242.0,517.0,88.0,1544.5,503839.5,157.11,45.06,138.76999999999998,39.725,53.405,15.215,191.48,54.835,144.135,41.255,13.67,3.91,5.575,0.115,49.0,168.45,165.35,2697.5,2473.5,2947.0,251.13,71.875,98.15,28.125,189.0,54.1,160.27999999999997,45.900000000000006,137.89499999999998,39.465,107.68,30.84,103.71,29.695,1.5,0.5,378.0,51.185,2264.5,1846.5,418.0,21.5,38.5,292.5,200.0,92.5,2.0,8.0,28.34,49.81,261.0,327.5,0.0,1412.0,457028.0,187.045,53.925,124.87,35.995000000000005,35.195,10.08,204.78,59.065,124.815,35.905,17.515,5.025,7.51,0.13,59.5,168.85,167.0,2299.0,2236.5,2285.5,261.015,75.14,86.1,24.86,247.265,71.215,99.845,28.785,190.675,54.915,100.575,28.99,55.86,16.095,0,-1.0
5.0,10.0,400.0,50.345,2862.5,2275.5,587.0,28.0,53.0,715.0,481.5,233.5,6.0,21.5,47.995,39.54,304.5,318.0,117.5,1518.5,596787.0,185.38,44.61,174.89499999999998,42.085,55.295,13.31,222.675,53.585,171.41,41.245000000000005,21.48,5.165,7.345000000000001,0.1149999999999999,63.0,212.15,203.25,2488.5,2214.5,2736.5,305.46000000000004,73.505,110.105,26.495,260.735,62.74,154.83999999999995,37.260000000000005,198.885,47.86,114.35,27.515,102.33,24.62,0.0,4.0,364.5,53.725,2645.0,2015.5,629.5,26.0,53.0,526.0,243.0,283.0,4.0,21.5,50.355,74.47,321.5,611.0,166.0,1493.5,602986.0,192.86,45.08,196.615,45.96,38.325,8.96,255.81,59.795,151.57,35.43,20.425,4.775,4.455,0.11,40.0,202.7,201.85,2526.5,2399.5,2648.0,306.68499999999995,71.69,121.12,28.31,274.63,64.2,153.17,35.8,209.485,48.965,125.055,29.23,93.26,21.8,0,-1.0
12.0,7.0,419.5,55.11,2428.5,2035.0,393.5,26.0,38.0,574.5,411.5,163.0,5.0,15.0,21.74,57.92,397.0,551.0,92.0,1541.5,502737.5,157.04500000000002,44.925,146.57,41.965,45.715,13.115,216.695,62.005,125.175,35.855000000000004,7.455,2.135,7.095,0.135,55.0,170.65,166.25,2465.5,2310.0,2649.0,257.695,73.78,91.635,26.22,198.325,56.765,151.0,43.235,141.765,40.575,112.785,32.27,94.775,27.155,1.0,1.5,360.0,43.925,1983.0,1393.0,590.0,16.5,52.0,399.5,272.0,127.5,3.0,11.5,47.665000000000006,31.465,127.0,266.5,27.5,1403.0,459803.5,190.255,54.305,123.76,35.325,36.36,10.375,206.71,58.995000000000005,138.26,39.46,5.405,1.54,6.19,0.13,47.0,168.45,167.64999999999998,2557.0,2486.5,2623.5,269.0,76.78,81.375,23.22,253.695,72.405,96.685,27.595,202.26,57.725,90.87,25.935,57.245000000000005,16.335,0,-1.0
